name,cards.nodes.note,cards.nodes.content.id,cards.nodes.content.number,cards.nodes.content.title,cards.nodes.content,cards.pageInfo.hasNextPage,cards.pageInfo.endCursor,cards.totalCount
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/46,MDU6SXNzdWU2NDUwMDcwMDU=,537,Automate kicking off Fortify scans in GH Actions,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/46,MDU6SXNzdWU2NTc1MDY4OTc=,609,Security Demo for Angela,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/46,MDU6SXNzdWU2NDc4MzQ4NDA=,551,Security Playbook: Code Scanning,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/46,MDU6SXNzdWU2NDc4Mzc1NzI=,555,Security Playbook: Remediation,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/46,MDU6SXNzdWU2ODYzMDUxNTM=,746,Add comment-commands to github-inactive-user-mentions repo,,,,
Done 🥳,Update onboarding automation to auto approve users.,MDU6SXNzdWU2ODYzMDUxNTM=,746,Add comment-commands to github-inactive-user-mentions repo,,,,
Done 🥳,Update onboarding automation to auto approve users.,MDU6SXNzdWU2NTAyNjIzNzQ=,573,Automate /kick users after 90 days of no activity in the org,,,,
Done 🥳,Update onboarding automation to auto approve users.,MDU6SXNzdWU2NzQ1ODY5NjU=,680,Need service account for Rational -- potentially working with AbleVets on running this migration puppy in Jenkins,,,,
Done 🥳,Update onboarding automation to auto approve users.,MDU6SXNzdWU2Nzc5ODQ3ODE=,704,Write a small action to close issues created by perseverance template,,,,
Done 🥳,Update onboarding automation to auto approve users.,MDU6SXNzdWU2NzQ1Njg2OTQ=,678,Modify github-handbook to change language for making repos public,,,,
Done 🥳,Update onboarding automation to auto approve users.,MDU6SXNzdWU2OTgxNDEyNjQ=,794,Create one TLS guide to rule them all,,,,
Done 🥳,Update onboarding automation to auto approve users.,MDU6SXNzdWU2NjQ0MDM0MjA=,635,Recent GitHub Features for Angela,,,,
Done 🥳,Update onboarding automation to auto approve users.,MDU6SXNzdWU2NDc4MzUyMjk=,552,Security Playbook: Secret Scanning,,,,
Done 🥳,Update onboarding automation to auto approve users.,MDU6SXNzdWU2NzIxMzY0MTQ=,663,Merging Slack channels in VA OIT DevOps workspace,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/913,MDU6SXNzdWU2NzIxMzY0MTQ=,663,Merging Slack channels in VA OIT DevOps workspace,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/913,MDU6SXNzdWU2NzYxNTk4NTg=,688,Create Issue Template for keeping account access in github-user-requests,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/913,MDU6SXNzdWU2ODc0MzQxNzI=,760,GHAS Strategy Session,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/913,MDU6SXNzdWU2NTAxNzI1NTk=,570,Zack's items while Heather is out 7/6-10,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/913,MDU6SXNzdWU2NjkxODc0NDQ=,658,Readiness criteria for GHAS,,,,
Done 🥳,"OSCIF Migration, Part 1 of 1000000 @zkoppert @chocrates

https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/534",MDU6SXNzdWU2NjkxODc0NDQ=,658,Readiness criteria for GHAS,,,,
Done 🥳,"OSCIF Migration, Part 1 of 1000000 @zkoppert @chocrates

https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/534",MDU6SXNzdWU2ODEzNjE0NTI=,721,Get Code.gov repo scoring schema and weights,,,,
Done 🥳,"OSCIF Migration, Part 1 of 1000000 @zkoppert @chocrates

https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/534",MDU6SXNzdWU2NDU4MTQ5OTY=,545,Prepare a list of feature references and prerequisites needed for a Code Scanning Pilot,,,,
Done 🥳,"OSCIF Migration, Part 1 of 1000000 @zkoppert @chocrates

https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/534",MDU6SXNzdWU2NDc4MzU1NzM=,553,Security Playbook: Security Policy,,,,
Done 🥳,"OSCIF Migration, Part 1 of 1000000 @zkoppert @chocrates

https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/534",MDU6SXNzdWU2NDE2MDQzMDg=,518,Mike B Code Scanning Pilot Week 3,,,,
